From Tx #;Long;Lat;Callsign;Address;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
15;128.639156;37.629232;NODE02;RE;1.000000;30.00;0.00;;3;128.679764;37.675137;MU02;MU;30.00;0.00;;31.9;-108.39;20.78;1;1429.5;V;6228.82;35.32;-1.64;215.32;1.64;0.0;0.0;138.4;NLOS;20.00
15;128.639156;37.629232;NODE02;RE;1.000000;30.00;0.00;;4;128.731506;37.665173;MU03;MU;30.00;0.00;;55.6;-84.68;30.26;1;1429.5;V;9072.60;64.11;-1.34;244.11;1.34;0.0;0.0;114.7;LOS;20.00
15;128.639156;37.629232;NODE02;RE;1.000000;30.00;0.00;;5;128.703690;37.703319;MU04;MU;30.00;0.00;;54.8;-85.52;33.36;1;1429.5;V;10000.34;34.90;-1.26;214.90;1.26;0.0;0.0;115.5;LOS;20.00
15;128.639156;37.629232;NODE02;RE;1.000000;30.00;0.00;;12;128.589874;37.605636;MU11;MU;30.00;0.00;;-3.3;-143.65;16.96;1;1429.5;V;5084.91;239.19;-3.32;59.19;3.32;0.0;0.0;173.6;NLOS;20.00
15;128.639156;37.629232;NODE02;RE;1.000000;30.00;0.00;;13;128.599914;37.593409;MU12;MU;30.00;0.00;;44.0;-96.30;17.59;1;1429.5;V;5272.15;221.31;0.65;41.31;-0.65;0.0;0.0;126.3;NLOS;20.00
16;128.524266;37.731756;NODE03;RE;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;30.00;0.00;;42.6;-97.72;33.19;1;1429.5;V;9949.50;153.54;-4.47;333.54;4.47;0.0;0.0;127.7;NLOS;20.00
16;128.524266;37.731756;NODE03;RE;1.000000;30.00;0.00;;9;128.555313;37.702134;MU08;MU;30.00;0.00;;41.2;-99.11;14.38;1;1429.5;V;4310.84;140.50;-7.24;320.50;7.24;0.0;0.0;129.1;NLOS;20.00
16;128.524266;37.731756;NODE03;RE;1.000000;30.00;0.00;;10;128.521622;37.718586;MU09;MU;30.00;0.00;;52.0;-88.29;4.95;1;1429.5;V;1483.54;189.33;-4.18;9.33;4.18;0.0;0.0;118.3;NLOS;20.00
16;128.524266;37.731756;NODE03;RE;1.000000;30.00;0.00;;11;128.519592;37.751747;MU10;MU;30.00;0.00;;40.4;-99.92;7.56;1;1429.5;V;2267.47;349.79;-5.83;169.79;5.83;0.0;0.0;129.9;NLOS;20.00
16;128.524266;37.731756;NODE03;RE;1.000000;30.00;0.00;;14;128.513892;37.652036;NODE01;RE;30.00;0.00;;42.7;-97.67;29.71;1;1429.5;V;8905.78;186.20;-3.19;6.20;3.19;0.0;0.0;127.7;NLOS;20.00
